Iterations,Score_RHC,Time_RHC,Score_SA,Time_SA,Score_GA,Time_GA,Score_MIMIC,Time_MIMIC
10,21,9.587556666666667E-4,18,4.8327633333333336E-4,30,0.02212365466666667,43,0.5696204733333333
100,21,4.791613333333333E-4,21,5.383366666666667E-4,34,0.034445781,61,1.987701651
1000,35,8.746766666666668E-4,39,0.001052139,44,0.19111275433333333,163,16.766595241333334
2500,45,0.0021597509999999997,66,0.0033670166666666668,56,0.5274623103333332,199,55.76016063033333
5000,75,0.004685728,112,0.004750471,69,1.0545547283333334,199,117.06411349266666
8000,86,0.006710064000000001,156,0.007496182333333333,78,1.6699958323333333,199,162.539105736
10000,124,0.014173815333333334,172,0.011739979333333333,98,2.9439770730000006,199,231.62544958433332
15000,185,0.018544089,192,0.017119870666666665,119,4.169571663999999,199,566.9785156953334
30000,199,0.022976073333333336,199,0.03277017933333334,129,6.086677842666667,199,583.4324496493333
